0, 253
1, 514
2, 774
3, 1033
4, 1292
5, 1554
6, 1814
7, 2074
8, 2335
9, 2596
10, 2856
11, 3115
12, 3375
13, 3634
14, 3895
15, 4154
16, 4404
17, 4664
18, 4923
19, 5183
20, 5434
21, 5702
22, 5962
23, 6212
24, 6472
25, 6740
26, 6990
27, 7248
28, 7511
29, 7771
30, 8032
31, 8294
32, 8556
33, 8815
34, 9065
35, 9320
36, 9580
37, 9842
38, 10100
39, 10359
40, 10619
41, 10881
42, 11140
43, 11399
44, 11661
45, 11921
46, 12182
47, 12443
48, 12702
49, 12963
50, 13225
51, 13486
52, 13747
53, 14007
54, 14266
55, 14528
56, 14787
57, 15047
58, 15305
59, 15567
60, 15825
61, 16087
62, 16347
63, 16597
64, 16857
65, 17116
