0, 255
1, 771
2, 1540
3, 2332
4, 3383
5, 4437
6, 5485
7, 6538
8, 7877
9, 9187
10, 10479
11, 11796
12, 13129
13, 14427
14, 15741
15, 17027
16, 18598
17, 20188
18, 21758
19, 23322
20, 24890
21, 26469
22, 28024
23, 29582
24, 31168
25, 32732
26, 34321
27, 35923
28, 37509
29, 39142
30, 40722
31, 42283
32, 44113
33, 45946
34, 47739
35, 49577
36, 51388
37, 53232
38, 55025
39, 56809
40, 58645
41, 60480
42, 62315
43, 64159
44, 65960
45, 67785
46, 69620
47, 71427
48, 73275
49, 75120
50, 76934
51, 78749
52, 80534
53, 82328
54, 84130
55, 85949
56, 87743
57, 89581
58, 91389
59, 93217
60, 95054
61, 96868
62, 98666
63, 100485
64, 102561
65, 104611
