0, 250
1, 750
2, 1552
3, 2554
4, 3815
5, 5329
6, 7132
7, 9196
8, 11468
9, 14086
10, 16942
11, 20037
12, 23502
13, 27144
14, 31111
15, 35166
16, 39589
17, 44129
18, 49013
19, 54072
20, 59507
21, 65269
22, 71245
23, 77445
24, 83921
25, 90657
26, 97589
27, 104882
28, 112408
29, 120046
30, 127946
31, 136142
32, 144787
33, 153694
34, 162998
35, 172529
36, 182269
37, 192414
38, 202709
39, 213290
40, 224040
41, 235190
42, 246533
43, 258010
44, 269817
45, 281983
46, 294167
47, 306799
48, 319737
49, 332801
50, 346112
51, 359645
52, 373372
53, 387430
54, 401672
55, 416405
56, 431595
57, 446965
58, 462427
59, 478151
60, 494068
61, 510316
62, 526892
63, 543692
64, 560738
65, 578109
