0, 250
1, 1064
2, 2925
3, 4801
4, 8649
5, 12591
6, 16470
7, 20318
8, 28404
9, 36365
10, 44296
11, 52419
12, 60472
13, 68476
14, 76569
15, 84653
16, 101194
17, 117727
18, 133942
19, 150363
20, 166756
21, 183086
22, 199444
23, 215949
24, 232200
25, 248576
26, 265012
27, 281280
28, 297671
29, 314062
30, 330393
31, 346797
32, 380410
33, 413601
34, 446668
35, 479608
36, 512721
37, 545917
38, 579278
39, 613046
40, 646424
41, 679994
42, 713197
43, 746359
44, 779149
45, 812184
46, 845321
47, 878607
48, 911990
49, 945196
50, 978218
51, 1011161
52, 1044067
53, 1077305
54, 1110533
55, 1143547
56, 1176273
57, 1209296
58, 1242489
59, 1275640
60, 1308747
61, 1341824
62, 1374907
63, 1550067
64, 1616858
65, 1682714
