0, 0
1, 0
2, 250
3, 750
4, 1250
5, 2001
6, 2751
7, 3501
8, 4251
9, 5252
10, 6252
11, 7252
12, 8253
13, 9253
14, 10253
15, 11257
16, 12258
17, 13508
18, 14759
19, 16009
20, 17265
21, 18518
22, 19768
23, 21018
24, 22269
25, 23520
26, 24772
27, 26022
28, 27272
29, 28523
30, 29773
31, 31023
32, 32274
33, 33774
34, 35275
35, 36803
36, 38304
37, 39804
38, 41304
39, 42805
40, 44305
41, 45806
42, 47306
43, 48807
44, 50307
45, 51808
46, 53308
47, 54809
48, 56309
49, 57809
50, 59310
51, 60810
52, 62311
53, 63811
54, 65311
55, 66811
56, 68312
57, 69812
58, 71312
59, 72813
60, 74313
61, 75813
62, 77314
63, 78814
64, 80314
65, 82064
66, 83815
67, 85565
68, 87331
69, 89081
70, 90831
71, 92600
72, 94350
73, 96100
74, 97851
75, 99605
76, 101357
77, 103108
78, 104863
79, 106619
80, 108370
81, 110120
82, 111870
83, 113621
84, 115371
85, 117121
86, 118872
87, 120622
88, 122377
89, 124137
90, 125887
91, 127639
92, 129390
93, 131140
94, 132892
95, 134642
96, 136392
97, 138143
98, 139893
99, 141643
100, 143394
